A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
Empowered Envoy | Unique items | The following unique items are related to Empowered Envoy:
Endbringer | Description | Endbringer is a notable passive skill only found on a Medium Cluster Jewel that has the enchantment : Added Small Passive Skills grant: 10% increased Damage while affected by a Herald or Added [.] grant: Minions deal 10% increased Damage while you are affected by a Herald , or a Megalomaniac which has 3 random notables.
Endbringer | Unique items | The following unique items are related to Endbringer:
Endless Tide | Description | Endless Tide is an Atlas passive skill and Atlas keystone , specifically for the Beyond league encounter.
Endless Tide | Mechanics | Endless Tide prevents Beyond bosses from spawning, but also halves the total Beyond portal merging radius. While this prevents the Beyond mechanic from ending prematurely by spawning a boss, it also reduces the number of additional Beyond monsters that you would otherwise spawn from portal merging. However, this downside can be negated with extremely dense maps, in which the portal merging reduction would not have a significant impact, and would be where Beyond shines with this keystone.
Endless Tide | Location | As of version 3.22.0 it is located near the center-left of the Atlas passive skill tree connected to the Beyond cluster containing Scent of Blood.
Endurance | Description | Endurance is a notable passive skill that grants an additional maximum endurance charge.
Endurance | Anointment | Blight anointment to unlock the passive:
Enduring Bond | Description | Enduring Bond is a notable passive skill that grants increased duration for minions and skill effect duration. It also grants increased damage for minions if a minion skill has been used recently.
Enduring Bond | Anointment | Blight anointment to unlock the passive:
Enduring Composure | Description | Enduring Composure is a cluster jewel only notable passive skill. Either it is non-unique rarity Small Cluster Jewel and has the enchantment : Added Small Passive Skills grant: 15% increased Armour , or a Megalomaniac which drops as a corrupted item and has 3 random cluster jewel notable passives.
Enduring Composure | Mechanics | Gain 1 Endurance Charge every second if you've been Hit Recently : This effect can be procced by self-damage (e.g. Forbidden Rite ). This effect stacks if multiple copies of this notable are allocated.
Enduring Composure | Unique items | The following unique items are related to Enduring Composure:
Enduring Composure | Trivia | The icon of this passive is shared with many other cluster jewel-only notables, such as Dragon Hunter , Heart of Iron , Uncompromising and etc.
Enduring Faith | Description | Enduring Faith is a notable passive skill added by the Militant Faith jewel. It requires the listed amount of Devotion to be allocated to function.
Enduring Focus | Description | Enduring Focus is a cluster jewel only notable passive skill. It is either found on non-unique rarity Medium Cluster Jewel and has the enchantment : Added Small Passive Skills grant: Channelling Skills deal 12% increased Damage , or a Megalomaniac which drops as a corrupted item and has 3 random cluster jewel notable passives.
Enduring Focus | Unique items | The following unique items are related to Enduring Focus:
Enduring Influence | Description | Enduring Influence is an atlas passive skill.
Enduring Influence | Mechanics | Awakened Sextant mods will have 4 uses, and Elevated Sextant mods will have 16 uses with this passive. Unallocating the passive after applying the Sextant will not deduct the extra use.
Enduring Ward | Description | Enduring Ward is a cluster jewel only notable passive skill. It is either found on a non-unique rarity Small Cluster Jewel - see spawn weightings below- or a Megalomaniac which drops as a corrupted item and has 3 random cluster jewel notable passives.
Enduring Ward | Unique items | The following unique items are related to Enduring Ward:
Energy Flow Studies | Description | Energy Flow Studies is a notable passive skill added by the Glorious Vanity jewel.
Energy From Naught | Description | Energy From Naught is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Energy From Naught | Description | It only spawns from a Small Cluster Jewel with the enchantment Added Small Passive Skills grant: 6% increased maximum Energy Shield.
Energy From Naught | Unique items | The following unique items are related to Energy From Naught:
Enhanced Starlight | Description | Enhanced Starlight is a notable Bloodline Ascendancy passive skill from the Olroth Bloodline that grants increased ward from equipped armours and causes damage that is less than a certain percentage of the user's Ward to bypass it.
Enhanced Starlight | Mechanics | Ynda's Stand does not gain increased Ward since belts are considered to be jewellery. [ confirmation needed ]
Enigmatic Defence | Description | Enigmatic Defence is a notable passive skill that grants a chance to block Spell Damage and Attack Damage while wielding a Staff. It also grants increased Spell Damage while wielding a Staff.
Enigmatic Defence | Anointment | Blight anointment to unlock the passive:
Enigmatic Reach | Description | Enigmatic Reach is a notable passive skill that grants chance to block spells while wielding a staff. It also grants chance to gain a power charge when you block spell damage and increased area of effect per power charge.
Enigmatic Reach | Anointment | Blight anointment to unlock the passive:
Entrench | Description | Entrench is a notable passive skill that grants chance to suppress spell damage. It also lets you gain life flask charges when you suppress spell damage.
Entrench | Anointment | Blight anointment to unlock the passive:
Entropy | Description | Entropy is a notable passive skill that grants increased damage over time and increased skill effect duration.
Entropy | Anointment | Blight anointment to unlock the passive:
Epidemiology | Description | Epidemiology is a notable atlas passive skill.
Escalation (passive skill) | Description | Escalation is a notable passive skill that grant increased damage for each second the character was affected by a warcry buff.
Escalation (passive skill) | Location | Escalation is on the same passive skill cluster with Natural Authority. They are located at the outmost edge of the Marauder area of the skill tree. Allocate either notables also grant access to the Warcry Mastery. (cannot be allocated via anointment or Thread of Hope , Impossible Escape or Intuitive Leap in this case)
Escalation (passive skill) | Anointment | Blight anointment to unlock the passive:
Escaped Experiment | Description | Escaped Experiment was an atlas notable passive skill.
Esh of the Storm | Description | Esh of the Storm is a notable Bloodline Ascendancy passive skill from the Breachlord Bloodline that grants additional Intelligence , as well additional gem level to Lightning gems if at least four Foulborn unique items are equipped and for hits to ignore enemy lightning resistance if all equipped rings are the Synaptic Ring base.
Essence Extraction | Description | Essence Extraction is a notable passive skill that grants increased flask charges gained and increased mana recovery rate during effect of any mana flask.
Essence Extraction | Anointment | Blight anointment to unlock the passive:
Essence Infusion | Description | Essence Infusion is a notable passive skill that grants increased energy shield recharge rate and faster start of energy shield recharge.
Essence Infusion | Location | As of 3.17, it is located on the top of the passive skill tree, near to the Mind Over Matter or Elemental Overload keystone passives. (2 to 3 nodes away from the cluster) The Essence Infusion passive skill cluster also contains a Energy Shield Mastery.
Essence Infusion | Anointment | Blight anointment to unlock the passive:
Essence Rush | Description | Essence Rush is a notable passive skill only found on Large Cluster Jewels that have an enchantment Added Small Passive Skills grant: 10% increased Spell Damage , or a Megalomaniac.
Essence Rush | Unique items | The following unique items are related to Essence Rush:
Essence Sap | Description | Essence Sap is a notable passive skill that grants mana leech for any damage dealt by attacks , improves mana leech per second, and increases mana leech 's maximum rate.
Essence Sap | Anointment | Blight anointment to unlock the passive:
Essence Surge | Description | Essence Surge is a notable passive skill that grants faster start of energy shield recharge and additional maximum energy shield.
Essence Surge | Anointment | Blight anointment to unlock the passive:
Etched by Acid | Description | Etched by Acid is an atlas passive skill.
Etched by Acid | Mechanics | When the first Eater of Worlds influenced pack of monsters spawns in your map , there is a chance it grants double progress towards encountering The Eater of Worlds.
Eternal Adaptiveness | Description | Eternal Adaptiveness is a notable passive skill added by the Elegant Hubris jewel.
Eternal Bloodlust | Description | Eternal Bloodlust is a notable passive skill added by the Elegant Hubris jewel.
Eternal Dominance | Description | Eternal Dominance is a notable passive skill added by the Elegant Hubris jewel.
Eternal Exploitation | Description | Eternal Exploitation is a notable passive skill added by the Elegant Hubris jewel.
Eternal Fervour | Description | Eternal Fervour is a notable passive skill added by the Elegant Hubris jewel.
Eternal Fortitude | Description | Eternal Fortitude is a notable passive skill added by the Elegant Hubris jewel.
Eternal Hunt | Description | Eternal Hunt is an atlas passive skill. It increases the chance of Einhar missions spawning in maps and increases the relative drop rate of Bestiary Scarabs.
Eternal Resilience | Description | Eternal Resilience is a notable passive skill added by the Elegant Hubris jewel.
Eternal Separation | Description | Eternal Separation is a notable passive skill added by the Elegant Hubris jewel.
Eternal Subjugation | Description | Eternal Subjugation is a notable passive skill added by the Elegant Hubris jewel.
Eternal Suffering | Description | Eternal Suffering is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Eternal Suffering | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Chaos Damage over Time.
Eternal Suffering | Unique items | The following unique items are related to Eternal Suffering:
Eternal Torment | Description | Eternal Torment is an Atlas passive skill exclusive to the Necropolis league.
Eternal Torment | Mechanics | Haunted pack leaders in maps have increased chance to spawn as rare monsters.
Eternal Torment | Mechanics | A tormented spirit has a chance to spawn when collecting corpses for the Necropolis.
Eternal Youth | Description | Eternal Youth is a keystone passive skill which causes energy shield recharge to apply to life , but halves your life regeneration and life leech.
Eternal Youth | Mechanics | Your life recharge rate is dependent on your total life pool, not your energy shield pool.
Eternal Youth | Mechanics | As with energy shield, taking damage to life will interrupt the recharge. Taking damage to energy shield or mana will not interrupt life recharge.
Eternal Youth | Mechanics | Modifiers that prevent energy shield recharge, such as Ghost Reaver and Shavronne's Revelation , do not prevent life recharge.
Eternal Youth | Mechanics | Modifiers to energy shield recharge, such as faster start of energy shield recharge and increased energy shield recharge rate , apply to life recharge instead. Wicked Ward prevents life recharge from being interrupted.
Eternal Youth | Mechanics | The less Life Regeneration Rate mod on the keystone does not lower energy shield regeneration when Zealot's Oath keystone is allocated.
Eternal Youth | Location | Eternal Youth is located on the west side of the tree, on the intersection between the Scion, Marauder, and Templar paths.
Eternal Youth | Location | This keystone can also be obtained from the tree by using a legacy Glorious Vanity jewel with modifier Bathed in the blood of (100–8000) sacrificed in the name of Zerphi. The jewel will conquer any keystones within the radius (size: 1500) of the jewel.
Ethereal Feast | Description | Ethereal Feast is a notable passive skill that grants a percentage of spell damage dealt to be leeched as energy shield and increased maximum total recovery from energy shield leech.
Ethereal Feast | Anointment | Blight anointment to unlock the passive:
Ethics Review | Description | Ethics Review was an atlas passive skill.
Eve of Invasion | Description | Eve of Invasion is an atlas passive skill.
Eve of Invasion | Mechanics | Adds rare chance for your maps which contain a Breach to contain up to 10 additional Breaches.
Everlasting Sacrifice | Description | Everlasting Sacrifice is a keystone passive skill that grants a temporary buff to maximum resistances when the character reaches full energy shield , then sacrifices all energy shield.
Everlasting Sacrifice | Sources | Everlasting Sacrifice can be obtained from the following sources:
Everlasting Sacrifice | Mechanics | Everlasting Sacrifice will activate whenever you recover energy shield past your maximum. ES gained from recharge will also count. You do not need to be at less than full energy shield to proc Everlasting Sacrifice. Everlasting Sacrifice will not function if you have 0 maximum energy shield.
Everlasting Sacrifice | Mechanics | Everlasting Sacrifice is unaffected by modifiers to buff effect or duration.
Everlasting Sacrifice | Strategy | To maintain full uptime of +5% to all Maximum Resistances, the player's energy shield must be able to reach full energy shield at least once every 4 seconds. This is best achieved by reducing your maximum ES as low as possible while stacking ES recovery, preferably flat regen and ES gain on hit. Percentage ES recovery that scales with maximum ES, including recharge and ES leech, are less viable due to it being much slower.
Everlasting Sacrifice | Strategy | Some choices of viable energy shield recovery include:
Everlasting Sacrifice | Strategy | Reducing the energy shield pool is generally preferred, which provides some use to items like Daresso's Salute , Ming's Heart , or reflected jewelry with negative maximum energy shield mods, or by minimizing increases to ES by redirecting Intelligence bonuses with Solipsism , Faithguard , or Crystallised Omniscience. The only exception would be for Energy Blade builds, which instead want to maximize ES and use % sources of ES recovery instead (stacking Strength and Intelligence, using Shaper's Touch , etc). Note that you would need to cast Energy Blade prior to equipping the shield, as the skill costs Energy Shield to use.
Everlasting Sacrifice | Strategy | Note that maintaining Everlasting Sacrifice will be significantly harder if the sources of Everlasting Sacrifice also adds additional maximum ES (e.g. Mahuxotl's Machination and Foulborn Soul Tether without both Foulborn mods). Otherwise, you will need only a miniscule amount of maximum ES above 0 to maintain it.
Everlasting Sacrifice | Strategy | With Eldritch Battery , you can maintain permanent uptime by scaling recharge rate. You will need at least 50% increased recharge rate plus extra to maintain your skill costs to maintain permanent uptime with recharge rate alone.
Everlasting Sacrifice | Unique items | Droppable unique item related to Everlasting Sacrifice:
Evil Eye | Description | Evil Eye is a notable passive skill only found on non-unique Small Cluster Jewels that have the enchantment Added Small Passive Skills grant: 2% increased Effect of your Curses , or as one of the three random notable of the unique jewel Megalomaniac.
Evil Eye | Mods | It can also appears on a legacy Medium Cluster Jewel with the enchantment : Added Small Passive Skills grant: 2% increased Effect of your Curses
Evil Eye | Unique items | The following unique items are related to Evil Eye:
Evolving Hives | Description | Evolving Hives is an atlas passive skill.
Evolving Hives | Mechanics | Breach encounters in your maps spawn additional rare monsters and increased quantity of magic monsters.
Exceptional Performance | Description | Exceptional Performance is a notable passive skill that grants increased skill effect duration.
Exceptional Performance | Anointment | Blight anointment to unlock the passive:
Excess Sustenance | Description | Excess Sustenance is a notable passive skill that grants chance to gain life on hit with attacks.
Excess Sustenance | Location | Northeast of the Ranger's starting location.
Excess Sustenance | Anointment | Blight anointment to unlock the passive:
Executioner | Description | Executioner is a notable passive skill that grants increased damage with hits against enemies that are on low life , as well as increased Area of Effect if you have killed recently.
Executioner | Anointment | Blight anointment to unlock the passive:
Exiled Will | Description | Exiled Will is an atlas passive skill.
Exiled Will | Mechanics | Rogue exiles in your maps are possessed by a Tormented spirit.
Expansive Might | Description | Expansive Might is a notable passive skill only found on Large or Medium Cluster Jewels. The notable grants increased damage with hits and ailments from mace , sceptre or staff attacks. It also grants increased area of effect every second while stationary, up to a limit.
Expansive Might | Unique items | The following unique items are related to Expansive Might:
Expect the Unexpected | Description | Expect the Unexpected is an atlas passive skill.
Expect the Unexpected | Mechanics | Adds a chance of Scouting Reports dropping as Otherworldly Scouting Report , Delirious Scouting Report or Blighted Scouting Report instead.
Expeditious Munitions | Description | Expeditious Munitions is a notable passive skill that grants increased trigger area and throwing speed for traps.
Expeditious Munitions | Anointment | Blight anointment to unlock the passive:
Expendability | Description | Expendability is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Expendability | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Trap Damage and 12% increased Mine Damage.
Expendability | Unique items | The following unique items are related to Expendability:
Expert Hunter | Description | Expert Hunter is a notable passive skill that grants increased effect of your marks
Expert Hunter | Location | Southeast of the Ranger's starting location, in the "middle" ring of the tree. The cluster also contains a Mark Mastery.
Expert Hunter | Anointment | Blight anointment to unlock the passive:
Expert Reconnaissance | Description | Expert Reconnaissance is an atlas passive skill. Increased chance of Scouting Report drops in maps.
Expert Sabotage | Description | Expert Sabotage is a notable passive skill. This passive skill can only appear when placing cluster jewels into the player character's skill tree.
Expert Sabotage | Description | The mod can only appear in a Medium Cluster Jewel with an enchantment Added Small Passive Skills grant: 12% increased Trap Damage and 12% increased Mine Damage or in a Megalomaniac.
Expert Sabotage | Unique items | The following unique items are related to Expert Sabotage:
Expertise | Description | Expertise is a notable passive skill that grants additional dexterity.
Exploit Weakness | Description | Exploit Weakness is a cluster jewel only notable passive skill.
Exploit Weakness | Unique items | The following unique items are related to Exploit Weakness:
Explorative Carapaces | Description | Explorative Carapaces is an atlas passive skill.
Explorative Carapaces | Mechanics | Scarab drops in your maps are more likely to be cartography scarabs.
Explosive Elements | Description | Explosive Elements is a notable passive skill.
Explosive Elements | Anointment | Blight anointment to unlock the passive:
Explosive Force | Description | Explosive Force is a notable passive skill only found on a Large Cluster Jewel that have an enchantment Added Small Passive Skills grant: Wand Attacks deal 12% increased Damage with Hits and Ailments , or a Megalomaniac.
Explosive Force | Mechanics | Unlike most explosions , this notable's explosion is considered an on- hit ( killing blow ) effect, causing it to be inherited by the player's skills. This means explosions may also be caused by killing blows with wand attacks from proxies , such as mines. Explosions caused this way are unaffected by the player's stats, however, as those stats are only part of the proxy's skill, not global.
Explosive Force | Unique items | The following unique items are related to Explosive Force:
Explosive Impact | Description | Explosive Impact is a notable passive skill that grants increased fire damage and increased area of effect.
Explosive Impact | Anointment | Blight anointment to unlock the passive:
Explosive Runes | Description | Explosive Runes is a notable passive skill that grants increased attachment range with brands and increased critical strike multiplier to brands.
Explosive Runes | Anointment | Blight anointment to unlock the passive:
Exposure Therapy | Description | Exposure Therapy is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Exposure Therapy | Description | It is spawnable on non-unique Small Cluster Jewel or Medium Cluster Jewel with certain enchantments.
Exposure Therapy | Unique items | The following unique items are related to Exposure Therapy:
Exquisite Pain | Description | Exquisite Pain is a notable passive skill added by the Glorious Vanity jewel.
Extreme Archaeology | Description | Extreme Archaeology is an Atlas passive skill and Atlas keystone , specifically for the Expedition league encounter.
Extreme Archaeology | Mechanics | Extreme Archaeology significantly increases the explosive radius and placement range for Expedition bombs in maps, but limits your number of explosives to 1. This creates a single large explosion that makes all remnants in the area apply to all enemies in the area, saving time planning and placing the explosives, and allowing you to reap more benefits from remnants than you otherwise would have.
Extreme Archaeology | Mechanics | Expedition Monsters in your Maps spawn with an additional 10% of Life missing : This mod will prevent the use of modifiers requiring enemies to be on full life like For the Jugular.
Extreme Archaeology | Location | As of version 3.22.0 it is located near the center-right of the Atlas passive skill tree inside the Expedition cluster containing Ancient Writings and Distinguished Demolitionist.
Eye of the Storm (passive skill) | Description | Eye of the Storm is a notable passive skill only found on Cluster Jewels with certain enchantments or Megalomaniac which always has 3 random notables.
Eye of the Storm (passive skill) | Unique items | The following unique items are related to Eye of the Storm:
Eye to Eye | Description | Eye to Eye is a cluster jewel -only notable passive skill. It grants increased projectile damage, and additional increased projectile damage to hits against enemies within 3 meters [1] of the entity that used the skill. [2] (Regardless of distance travelled.)
Eye to Eye | Unique items | The following unique items are related to Eye to Eye:
Face Off | Description | Face Off is an atlas passive skill.
Face Off | Mechanics | Legion encounters in your maps are more likely to include a general. If a general spawns, both sides of the encounter have a general.
Face The Ultimatum | Description | Face the Ultimatum is an atlas passive skill.
Faith and Steel | Description | Faith and Steel is a notable passive skill that grants increased armour rating and increased maximum energy shield. It also grants additional elemental resistances.
Faith and Steel | Anointment | Blight anointment to unlock the passive:
Fan of Blades | Description | Fan of Blades is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Fan of Blades | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: Dagger Attacks deal 12% increased Damage with Hits and Ailments and Claw Attacks deal 12% increased Damage with Hits and Ailments.
Fan of Blades | Unique items | The following unique items are related to Fan of Blades:
Fan the Flames | Description | Fan the Flames is a notable passive skill only found on Medium Cluster Jewel that have the enchantment : Added Small Passive Skills grant: 12% increased Burning Damage , or on Megalomaniac.
Fan the Flames | Unique items | The following unique items are related to Fan the Flames:
Fangs of Frost | Description | Fangs of Frost is a notable passive skill that grants increased cold damage with attack skills, as well as additional cold resistance penetration for weapon damage.
Fangs of Frost | Anointment | Blight anointment to unlock the passive:
Fangs of the Viper | Description | Fangs of the Viper is a notable passive skill that grants increased physical damage , increased chaos damage , increased movement speed and additional dexterity.
Fangs of the Viper | Anointment | Blight anointment to unlock the passive:
Farewell to Flesh | Description | Sinner Saint is a notable Bloodline Ascendancy passive skill from the Lycia Bloodline that grants heralds more buff effect per percent of mana it's reserving and more damage per percent of life it's reserving.
Farewell to Flesh | Mechanics | The herald buff effect is specific to the reservation of that herald. For example, modifying the reservation of Herald of Purity only will not affect the buff effect for Herald of Ash.
Farewell to Flesh | Mechanics | The buff effects of heralds and the damage they deal are scaled separately.
Farewell to Flesh | Mechanics | Lost Unity 's Herald of the Hive is also considered a herald skill. Its buff grants more damage per Herald affecting you.
Farrul Bloodline that allows the user to allocate Farric Will , Fertile Will , or Wild Will | Farrul's Will | Description | Farrul's Will is a notable Ascendancy passive skill for the Farrul Bloodline that allows the user to allocate Farric Will , Fertile Will , or Wild Will.
Farsight | Description | Farsight is a notable passive skill that grants increased damage, increased attack speed and increased accuracy rating with bows. It also grants increased damage over time with bow skills.
Farsight | Anointment | Blight anointment to unlock the passive:
Fasting | Description | Fasting is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Fasting | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 6% increased Flask Effect Duration or Added Small Passive Skills grant: 10% increased Life Recovery from Flasks and 10% increased Mana Recovery from Flasks.
Fasting | Unique items | The following unique items are related to Fasting:
Fatal Blade | Description | Fatal Blade is a notable passive skill that grants increased critical strike chance and additional critical strike multiplier with swords.
Fatal Blade | Anointment | Blight anointment to unlock the passive:
Fatal Toxins | Description | Fatal Toxins is a notable passive skill that grants increased damage with poison. It also grants additional chaos resistance and additional damage over time multiplier for poison.
Fatal Toxins | Anointment | Blight anointment to unlock the passive:
Fear of the Light | Description | Fear of the Light is an Atlas passive skill and Atlas keystone exclusive to the Necropolis league.
Fear of the Light | Mechanics | This keystone prevents the player from rearranging the Haunted and Devoted modifiers on the Lantern of Arimor and causes their arrangement to be randomized (instead of the default arrangement, which sorted by Devoted and Haunted mods, then by tiers), and disables Allflame Embers from dropping.
Fearsome Force | Description | Fearsome Force is a notable passive skill that grants increased critical strike chance and critical strike multiplier for minions.
Fearsome Force | Anointment | Blight anointment to unlock the passive:
Fearsome Warrior | Description | Fearsome Warrior is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Fearsome Warrior | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Damage with Two Handed Weapons.
Fearsome Warrior | Unique items | The following unique items are related to Fearsome Warrior:
Feast of Flesh (passive skill) | Description | Feast of Flesh is a notable passive skill.
Feast of Flesh (passive skill) | Description | This passive skill can only appear when placing cluster jewels into the player character's skill tree.
Feast of Flesh (passive skill) | Description | The mod can only appear in a small cluster jewel with an enchantment Added Small Passive Skills grant: 4% increased maximum Life or in a Megalomaniac.
Feast of Flesh (passive skill) | Unique items | The following unique items are related to Feast of Flesh:
Feasting Fiends | Description | Feasting Fiends is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Feasting Fiends | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: Minions have 12% increased maximum Life and a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: Minions deal 10% increased Damage.
Feasting Fiends | Unique items | The following unique items are related to Feasting Fiends:
Feed the Fury | Description | Feed the Fury is a notable passive skill only found on Large Cluster Jewels. The notable grants a additional percentage of attack damage as life leech. It also grants increased damage and increased attack speed while leeching.
Feed the Fury | Unique items | The following unique items are related to Feed the Fury:
Feline Swiftness | Description | Feline Swiftness is a notable passive skill that grants chance to block attack damage and movement speed while dual wielding.
Feline Swiftness | Anointment | Blight anointment to unlock the passive:
Feller of Foes | Description | Feller of Foes is a notable passive skill that grants increased damage, additional accuracy rating, and additional critical strike multiplier with axes. It also grants increased damage with ailments wielding an axe.
Feller of Foes | Anointment | Blight anointment to unlock the passive:
Fending | Description | Fending is a notable passive skill that grants additional chance to knockback on hit. It also grants increased knockback distance.
Fending | Anointment | Blight anointment to unlock the passive:
Fervour | Description | Fervour is a notable passive skill that grants an additional maximum frenzy charge.
Fervour | Anointment | Blight anointment to unlock the passive:
Fettle | Description | Fettle is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Fettle | Description | It only spawns from a Small Cluster Jewel with the enchantment Added Small Passive Skills grant: 4% increased maximum Life.
Fettle | Unique items | The following unique items are related to Fettle:
Field Medicine | Description | Field Medicine is a notable passive skill.
Field Medicine | Anointment | Blight anointment to unlock the passive:
Fiendish Opulence | Description | Fiendish Opulence is an atlas passive skill.
Fiendish Opulence | Mechanics | Beyond demons in your maps drop increased quantity of tainted currency.
Finesse | Description | Finesse is a notable passive skill that grants increased attack speed and accuracy rating. It also grants additional dexterity.
Finesse | Anointment | Blight anointment to unlock the passive:
Fingers of Frost | Description | Fingers of Frost is a notable passive skill that grants chance to Freeze against enemies that are Chilled , and causes Frozen debuffs to inflict a 30% Chilled debuff on removal.
Fingers of Frost | Mechanics | Enemies Become Chilled as they Unfreeze, causing 30% reduced Action Speed :
Fingers of Frost | Anointment | Blight anointment to unlock the passive:
Fire Attunement | Description | Fire Attunement is a notable passive skill. This passive skill can only appear when placing cluster jewels into the player character's skill tree.
Fire Attunement | Description | The mod can only appear in a Small Cluster Jewel with an enchantment Added Small Passive Skills grant: +15% to Fire Resistance or in a Megalomaniac.
Fire Attunement | Unique items | The following unique items are related to Fire Attunement:
Fire Walker | Description | Fire Walker is a notable passive skill that grants increased fire damage , increased cast speed with fire skills , and additional fire resistance.
Fire Walker | Anointment | Blight anointment to unlock the passive:
Flaring Embers | Description | Flaring Embers is an atlas passive skill.
Flaring Embers | Mechanics | Breaches in your maps have increased chance to belong to Xoph ( fire Breach). Xoph also has a chance to be duplicated when he spawns.
Flash Breach | Description | Flash Breach is an atlas passive skill.
Flash Breach | Mechanics | Breaches in your maps open and close faster.
Flash Freeze | Description | Flash Freeze is a notable passive skill that grants increased cold damage , a chance to freeze and increased effect of cold ailments ( Chill , Frozen , Brittle ).
Flash Freeze | Anointment | Blight anointment to unlock the passive:
Flawless Execution | Description | Flawless Execution is a notable passive skill added by the Elegant Hubris jewel.
Flaying | Description | Flaying is a notable passive skill that grants increased damage, increased accuracy rating and increased attack speed with daggers.
Flaying | Anointment | Blight anointment to unlock the passive:
Fleetfoot | Description | Fleetfoot is a notable passive skill that grants increased evasion rating, increased movement speed and increased cooldown recovery speed of movement skills.
Fleetfoot | Anointment | Blight anointment to unlock the passive:
Flesh to Flames | Description | Flesh to Flames is a notable passive skill added by the Glorious Vanity jewel.
Flesh to Frost | Description | Flesh to Frost is a notable passive skill added by the Glorious Vanity jewel.
Flesh to Lightning | Description | Flesh to Lightning is a notable passive skill added by the Glorious Vanity jewel.
Flesh Worship | Description | Flesh Worship is a notable passive skill added by the Glorious Vanity jewel.
Flexible Dogma | Description | Flexible Dogma is an notable atlas passive skill.
Flexible Sentry | Description | Flexible Sentry is a notable passive skill only found on a Cluster Jewel that has certain enchantment (read spawn weight below), or a Megalomaniac which has 3 random notables.
Flexible Sentry | Unique items | The following unique items are related to Flexible Sentry:
Flow of Battle | Description | Flow of Battle is a notable passive skill that grants retaliation skills rage on hit and they deal increased damage.
Flow of Battle | Anointment | Blight anointment to unlock the passive:
Flow of Life | Description | Flow of Life is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Flow of Life | Description | It only spawns from a Medium Cluster Jewel or Small Cluster Jewel with one of the following enchantments :
Flow of Life | Unique items | The following unique items are related to Flow of Life:
Follow-Through | Description | Follow-Through is a notable passive skill only found on Medium Cluster Jewels that has enchantment Added Small Passive Skills grant: 10% increased Projectile Damage , or in Megalomaniac which always has 3 random notables.
Follow-Through | Unique items | The following unique items are related to Follow-Through:
For Love of the Queen | Description | For Love of the Queen is an atlas passive skill. It increases the chance of vaal side area to spawn in your maps, as well as grant a 20% chance to became an Alluring vaal side area. Read vaal side area article for the details of "Alluring" vaal side area.
For Love of the Queen | Ruthless mode | In Ruthless mode , this passive instead grants a chance for items dropped by Unique monsters to be corrupted. The 3 small passives in the same cluster, also instead grant the same item conversion, with a mod value of 1% for each passive.
Forbidden Words | Description | Forbidden Words is a cluster jewel only notable passive skill.
Forbidden Words | Description | At present, curse aura skills are the hex curse gems linked with Blasphemy Support or Awakened Blasphemy Support.
Forbidden Words | Unique items | The following unique items are related to Forbidden Words:
Forbidden Words | Unique items | Note that only legacy Megalomaniac that dropped before version 3.20.0 in the permanent leagues, could possibly have this passive.
Force Multiplier | Description | Force Multiplier is a notable passive skill only found on Large Cluster Jewels. The notable grants increased physical damage and a additional chance to deal double damage.
Force Multiplier | Unique items | The following unique items are related to Force Multiplier:
Force of Darkness | Description | Force of Darkness is a notable passive skill that grants chaos resistance penetration.
Force of Darkness | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Force of Darkness | Anointment | Blight anointment to unlock the passive:
Force Shaper | Description | Force Shaper is a notable passive skill that grants increased physical damage , increased attack and cast speed , and a percentage of physical damage as extra chaos damage.
Force Shaper | Anointment | Blight anointment to unlock the passive:
Forceful Skewering | Description | Forceful Skewering is a notable passive skill that grants a chance to impale enemies on hit with attacks and increased impale effect.
Forceful Skewering | Anointment | Blight anointment to unlock the passive:
Forces of Nature | Description | Forces of Nature is a notable passive skill that grants additional elemental resistance penetration with weapons.
Forces of Nature | Anointment | Blight anointment to unlock the passive:
Foresight | Description | Foresight is a notable passive skill that grants additional base maximum energy shield. It also grants increased maximum energy shield, as well as increased energy shield recharge rate.
Foresight | Anointment | Blight anointment to unlock the passive:
