Abyss | Description | Abysses are interactable objects in instances which spawns cracks and pits that spawn monsters. They can spawn from Act 6 onwards. This encounter is considered Extra Content and has a baseline greater than 8% chance to appear in any map area.
Expiration rate | Description | Ordinarily, the expiration rate of a temporary effect is equivalent to real time – that is, one second of temporary effect duration lasts one actual second – however, there are modifiers that can increase or decrease it. Modifiers that cause a temporary effect to expire x% slower decrease the expiration rate of that effect, thereby making it last longer. Similarly, modifiers that cause it to expire x% faster (or expire x% more quickly ) increase its expiration rate, making it last a shorter period of time.
Expiration rate | Mechanics | Despite changing the total time that temporary effects last, it does not increase or decrease the duration of that temporary effect. For most characters this difference does not matter, because the main goal is an overall longer or shorter time for the game mechanic. The difference only matters for benefits and/or downsides that only affect expiration rate or duration. For example:
Expiration rate | Mechanics | Temporary effects that can possibly be affected by expiration rate include buffs , debuffs, curses, flask effects, and temporary auras. Temporary effects that are not affected by expiration rate include rage and Focus , which don't have a modifiable duration, but instead apply at fixed rates or for fixed intervals.
Expiration rate | Mechanics | Slower expiry rate is capped at 75% after combining all sources, or a 4x effective duration. [1]
Expiration rate | Formulas | The modifier expire x% faster has diminishing returns, while the modifier expire x% slower has increasing returns.
Expiration rate | Formulas | The expiration rate of an effect, where IncreasedExpirationRate and DecreasedExpirationRate are the sums of all expire #% faster and expire #% slower modifiers applicable.
Expiration rate | Formulas | ExpirationRate = 1 + IncreasedExpirationRate 100 − DecreasedExpirationRate 100 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\text{ExpirationRate}}=1+{\frac {\text{IncreasedExpirationRate}}{100}}-{\frac {\text{DecreasedExpirationRate}}{100}}
Expiration rate | Formulas | From its base duration and expiration rate, we can calculate the effective duration of an effect.
Expiration rate | Formulas | EffectiveDuration = BaseDuration ExpirationRate \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\text{EffectiveDuration}}={\frac {\text{BaseDuration}}{\text{ExpirationRate}}}
Expiration rate | Skill gems | The following skill gems have stats related to expiration rate :
Expiration rate | Skill gems | The following skill gems have stats from quality related to expiration rate :
Expiration rate | Related passive skills | The table below displays passive skills related to expiration rate:
Expiration rate | Masteries | The following Masteries are related to expiration rate:
Expiration rate | Cluster Jewel passive skills | The following Cluster Jewel passives are related to expiration rate:
Explode | Description | Explode effects cause a killed monster or corpse to release an area of effect explosion, dealing secondary damage to nearby enemies, based on the monster's maximum life.
Explode | Mechanics | Explosions deal secondary damage based on the maximum life of a corpse or killed monster, ignoring life modifiers from partying , Delve depth, and atlas keystones like Wellspring of Creation. [1] Their hits can be modified by global offensive stats (e.g. added damage, conversion , damage multipliers, critical strikes , area of effect , on-hit effects such as ailments and other debuffs ), as long as those stats are not specific for attacks or spells. Non-skill explosions do not receive stats from the skill that killed the enemy.
Explode | Mechanics | Non-skill explosions have a base critical strike chance of 0%. They may gain a chance to crit from flat additions such as +#% to Critical Strike Chance while affected by Hatred from a Watcher's Eye. Skill explosions use the skill's (non-weapon) critical strike chance, such as Detonate Dead 's base 6%.
Explode | Mechanics | If multiple different explosions trigger at once, they will all do their damage simultaneously, as multiple independent explosions. [2] Multiple stats that provide a chance to cause the same explosion will stack their chance instead. Explosions may cause further explosions if the conditions are met, such as a Herald of Ice explosion that freezes and kills another enemy.
Explode | Mechanics | Enemies that explode on kill do not leave corpses. Exploding an existing corpse consumes it.
Explode | Mechanics | Exploding enemy monsters on death can prevent some on-death effects, such as porcupine spikes and cold damage over time from spiders in Delve. It does not prevent on-death effects more separate from the monster, like volatiles from the Volatile Volatile Prefix Rare Monsters have Volatile Cores 5% increased Pack size 11% increased Rarity of Items found in this Area 13% increased Quantity of Items found in this Area 78% more Scarabs found in Area map modifier , the Crystalline Crystalline Intrinsic +40% to all Elemental Resistances (Hidden) Gain 40% of Physical Damage as Extra Damage of a random Element (Hidden) monster modifier , or tarred ground left by some zombie enemies.
Explode | Mechanics | Damage from explosions cannot be reflected.
Explode | Mechanics | While not explosions, comparable effects exist in Herald of Ash and Legacy of Fury , which inflict on-kill damage over time on nearby enemies, and Great Old One's Tentacles and Double Strike of Impaling , which cause impale debuffs on killed enemies to reflect damage in an area.
Explode | Base items | No results found
Explode | Mods | Elevated modifiers can be created by using Orb of Dominance to upgrade the influenced modifiers:
Explode | Legacy mods | Mods available on charms.
Explode | Legacy mods | No results found
Flat damage | Description | Flat damage refers to stats that add base damage. Base damage is calculated first. For more info about the entire damage calculation process see Receiving damage.
Flat damage | Identifying Flat Damage | All flat damage modifiers have a base stat number and damage type.
Flat damage | Identifying Flat Damage | Some modifiers apply limitations to the damage source.
Flat damage | Identifying Flat Damage | If there is no limitation this implies a Global modifier, which is sometimes called a generic modifier.
Flat damage | Identifying Flat Damage | Some modifiers have variable stats and others have 1 stat.
Flat damage | Identifying Flat Damage | Flat damage comes in 2 forms. Minimum damage and maximum damage.
Flat damage | Identifying Flat Damage | Anything that says adds x damage is considering minimum damage. Minimum damage will always apply to every hit.
Flat damage | Identifying Flat Damage | Anything that says adds x - y damage is adding a minimum and maximum damage range. The maximum damage represent the maximum range of damage possible.
Flat damage | Damage Types | Flat damage can come in all of the 5 damage types. See each page for more examples of each flat damage source.
Flat damage | Limitations | Flat damage is capable of affecting all hits, including those applied by attacks , spells , minions and secondary damage. It does not affect damage over time from any source, including minions.
Flat damage | Limitations | Global damage will apply to all hits, except for minions which scale their own damage. Affects that only apply to one source (like minions) explicitly state so in the modifier. There is no specific flat damage that only applies to secondary damage, but global damage will apply to secondary damage.
Flat damage | Damage Scaling | Average damage - To calculate your average flat damage add up your minimum and maximum damage and divide them by 2.
Flat damage | Damage Scaling | To calculate flat added attack damage, take the average or minimum damage and divide that by your other total flat sources total average or minimum and the answer is the amount of more damage that one source gave you.
Flat damage | Damage Scaling | Spell damage is the same calculations above, except non spell sources are multiplied by the damage multiplier on the spell gem. These calculations are different because the damage on the gem itself is not multiplied by the damage multiplier, which is different than attacks.
Flat damage | Damage Scaling | Secondary damage has the same calculations as spell damage. For example Herald of Ice.
Flat damage | Damage Scaling | Support gems - Flat damage from support gems can potentially do more or less damage than other options available. It is also possible for them to give the most damage at one point and not so at another. Non-gem sources that affect your flat damage and the level of the support gem can change the total damage granted by flat damage.
Flat damage | Damage Scaling | Items like Forbidden Shako and Replica Forbidden Shako can make it easier to get flat damage support gems to high levels without having many sources of plus levels to the skill gem.
Fleeing | Description | Fleeing is a status that causes enemies to attempt to run to a random point somewhere away from the player until they reach a certain point, are interrupted, or are unable to reach their selected point and give up. If a fleeing enemy becomes stunned , their fleeing behaviour will be interrupted. There is no fixed duration for fleeing. [1]
Fleeing | Mechanics | Magic monsters have a 50% chance to avoid fleeing for any reason, and rare and unique monsters are unaffected by fleeing (though chance to flee can still be inflicted).
Fleeing | Mechanics | Fleeing monsters do not use any offensive skills while they are actively trying to flee. Certain triggered skills may still occur while fleeing.
Fleeing | Mechanics | Certain types of monsters naturally flee when they are ignited. This includes apes , humanoids , and sea witches.
Fleeing | Modifiers | Corrupted weapons could have the legacy corrupted implicit modifier 5% Chance to Cause Monsters to Flee.
Flying | Description | Flying is an inherent property held by certain entities and cannot be acquired by the player.
Flying | Mechanics | Flying entities can freely move over gaps, ledges, and other non-traversable terrain, as well as small obstacles like rocks and prison bars which typically block movement. [1] Flying entities cannot go through solid walls, Frost Wall , or other extreme vertical terrain differences, however.
Flying | Mechanics | Flying entities ignore many ground effects. [2] However, they are still affected by Consecrated Ground and Desecrated Ground. Other arena-specific effects will vary on a case-by-case basis.
Flying | Mechanics | Flying entities do not block the movement of non-flying entities. [3]
Fragmented Memory | Description | Memories are found in the Synthesis leagues in Act and map zones.
Fragmented Memory | Mechanics | Each Act or map zone contains one fragmented memory, which Cavas or Zana will open. Entering a memory will spawn you next to one of the Memory Stabiliser. Interacting with a Stabiliser will open the zone and cause the memory to start decaying. Stepping too deep within the decay will forcibly eject you from the memory. It's also possible for the decay to spread into a Stabiliser, preventing the memory from being captured.
Fragmented Memory | Mechanics | The memory can be captured by interacting with all the Memory Stabilisers in it. A memory can have two to four Stabilisers. Afterwards, the memory will be captured and can be used in the Memory Nexus. The captured memory contains paths which determines how it can be connected. Its locations are based on which directions the Stabilisers were.
Fragmented Memory | Mechanics | Once the memory is captured, you can click the button on the bottom right to speed up the decaying process.
Fragmented Memory | Mechanics | Once you exit the memory, any items that dropped inside the memory will be transferred to where you opened the memory.
Fragmented Memory | Mechanics | Fractured items can drop in a memory.
Fragmented Memory | Cavas' Memory | After encountering The Elder for the first time and retrieving Memory Fragment I , the next fragmented memory zone is a special memory which belongs to Cavas. The zone contains waves of synthesized monsters. After completing this memory, Cavas will recover his memories and Zana will take over his role. This also enables bosses to spawn in the Memory Nexus.
Full life | Description | Full Life is a condition that applies when the character's current life is at 100%. Full Life works when under the influence of Chaos Inoculation.
Full life | Interactions | While taking damage over time , the full life condition can still be met if your net life recovery is greater than the net life loss, via stats such as regeneration , leech , or flasks. [1] [2] Note however that the player will still die from sufficiently much damage over time, even if their life recovery over time is greater than the life loss over time.
Gain on block | Description | Gain on block is a form of recovery that instantly restores an amount of life , mana or energy shield for each block from an enemy attack or spell.
Gain on block | Mechanics | When an player blocks a hit by an enemy, the player gains an amount of life/mana/energy shield equal to combined gain on block bonuses from all sources respectively. Unlike leech , life, mana, and energy shield gained this way are restored instantly.
Gain on block | Skill gems | Bone Offering provides a delayed Life Gain on block because it Grants Minions X% of Life Regenerated per Second if they have Blocked recently.
Gain on block | Unique items | Only items with explicit gain on block are listed here
Gain on block | Other items | Generic Modifiers for Shields No results found
Gain on block | Passive skills | There are passive skills that grant life or mana gain on block bonuses.
Gain on block | Life gain on block | These passive skills grant additional life gained for each enemy attack blocked by the character.
Gain on block | Life gain on block | These passive skills grant additional life gained for each enemy attack blocked by a minion.
Gain on block | Energy Shield gain on block | These passive skills grant additional energy shield gained for each enemy spell blocked by the character.
Gain on hit | Description | Gain on hit is a form of recovery that instantly recovers an amount of life , mana or energy shield for each hit dealt by the character.
Gain on hit | Mechanics | Gain on hit effects instantly recover a static amount of resources. Different modifiers that apply to the same hit will stack additively. There is no cap on potential recovery, and each hit against each enemy can recover resources independently. Because it is instant, this type of recovery is unaffected by modifiers to recovery rate. [1]
Gain on hit | Mechanics | Life gain on hit is inherited by skills as an offensive stat, and can cause proxies to recover their own life, though this is normally only meaningful for totems.
Gain on hit | Mechanics | Similar to other on-hit effects, gain on hit effects do not apply to reflected damage.
Gain on hit | Unique items | Only items with explicit gain on hit are listed here
Gain on hit | Passive skills | There are passive skills that grant life or mana gain on hit bonuses.
Gain on hit | Life gain on hit | These passive skills grant additional life gained for each enemy hit by the character's attacks.
Gain on hit | Mana gain on hit | These passive skills grant additional mana gained for each enemy hit by the character's attacks.
Gain on hit | Item modifiers | Item modifiers that grant resource on hit.
Gain on kill | Description | Life gain on kill , mana gain on kill , and energy shield gain on kill is a form of recovery that instantly restores an amount of life , mana , or energy shield respectively when the character kills an enemy.
Gain on kill | Description | When an enemy is killed by a character's attack, that character gains an amount of life equal to combined life gain on killing blow bonuses from passives and all other sources. This effect triggers once for each enemy killed. Unlike leech , recovery this way is applied instantly.
Gain on kill | Description | Effects which grant life, mana, or charges on kill do not grant these bonuses when kills are achieved through proxy sources of damage, i.e.; minions , traps , mines , or totems.
Gain on kill | Passive skills | There are passive skills that grant life or mana gain on hit bonuses.
Gain on kill | Life gain on kill | These passive skills grant additional life gained when the character kills an enemy.
Gain on kill | Mana gain on kill | These passive skills grant additional mana gained when the character kills an enemy.
Gain on kill | Ascendancy Passive skills | These Ascendancy class passive skill are related to gain on kill.
Gale Force | Description | Gale Force is a counter, itself has no effect. However, Gathering Winds ascendancy passive skill of the Deadeye , which grants Gale Force, scales the effect of Tailwind per Gale Force. The notable ascendancy passive skill behind the Gathering Winds , Wind Ward , further augment the player per Gale Force.
Gale Force | Description | Note that Each instance of Gale Force lasts 4 seconds. Maximum 10 Gale Force.
Game mechanics | Description | Path of Exile can be intimidating for new players due to the fact that a certain level of understanding of game mechanics is demanded of players who wish to survive. In order to help facilitate planning and execution, this page contains information on the most important mechanics to understand and links to pages which explain specific mechanics in greater detail. It is intended to serve both as a guide to new players and as a primary reference for existing ones.
Game mechanics | Leagues | Before beginning path of exile players are given options for different leagues to choose from. Players can only interact with other players in the same league as them. Most items owned by players are restricted to the league they are found in, with some exceptions below.
Game mechanics | Leagues | Standard is the permanent, evergreen league with no modifiers. Path of Exile also releases temporary challenge leagues of the parent leagues that include new features to the game. These are like ladder resets, in that everybody joins the league with no characters and an empty stash. When temporary leagues end all characters and inventories and the stash will all move to standard.
Game mechanics | Leagues | Leagues also have three additional optional flags:
Game mechanics | Leagues | Characters with both Hardcore and Ruthless enabled are moved to the Void league on death, preventing them from being played at all.
Game mechanics | Leagues | Temporary leagues have the same options as standard. The temporary leagues with no modifiers tend to be the most popular leagues. Higher player population makes finding a party or rare items for trade easier.
Game mechanics | Classes | The main difference between the classes is their starting location on the passive skill tree and their Ascendancy class. Classes also start with different amounts of attributes and have different quest rewards.
Game mechanics | Ascendancy Classes | Each base class can choose from one of three Ascendancy classes (except for the Scion , who has only one) after completing the Lord's Labyrinth. Ascendancy classes offer powerful, specialized passive skills. You gain 2 Ascendancy skill points for each difficulty of the Labyrinth you complete, with 4 difficulties in all.
Game mechanics | Level Progression | All classes begin with the same base stats, and gain the same amount life , mana and evasion per level. Classes start with different accuracy stats but gain the same amount per level. The values all classes gain per level are:
Game mechanics | Private Stash | Your private stash allows you to store items and transfer them between characters. Stashes are shared between all your characters within a league - all of your Standard characters access one stash, while all of your Hardcore characters access a different stash. Items cannot be moved between leagues except by death to a character (From Hardcore or Challenge League Hardcore to Standard). Each account is initially limited to 4 stash tabs, but more can be bought through microtransactions.
Game mechanics | Chat Channels | There are two types of chat channels: Trade and Global Chat. These channels are League-specific. If you enter global chat in a Challenge league , then you will only be talking with people in that league only. Typing /global ## or /trade ## will put you into that number channel, provided it is not full.
Game mechanics | Chat Channels | Messages can be directed to different channels. Messages starting with
Game mechanics | Chat Channels | You can leave global or trade chat by unchecking the "Join Global Chat" or "Join Trade Chat" options on the chat window.
Game mechanics | Skills & Gems | Skill gems are the manner in which player characters are able to use and augment skills. Gems are placed in sockets by left-clicking it in the inventory to pick it up and then left-clicking it over the intended socket. Right clicking will remove the gem. Gems are either skills or supports, and skills come in several types whereof the two most common are Attacks and Spells.
Game mechanics | Skill gems | Skill gems creates the skill. They can come in various forms, such as attacking or casting a spell , summoning a minion or totem , throwing a trap or placing a mine , activating an aura or buff effect, and so on.
Game mechanics | Support gems | Support gems augments the skills, for example by increasing its power or adding more projectiles. The support gem needs to be linked to the gem to be active and the support needs to be able to support it. Reading the gem's tags is helpful in determining which support gems can support which skills. Common sense is also helpful - skills that don't do damage, such as Temporal Chains , won't benefit from Added Cold Damage Support nor would it add damage to an Aura. Note that skill properties may change depending on weapon - Elemental Hit , for example, is tagged with both Bow and Melee because it can be used with either, but Lesser Multiple Projectiles Support won't work when Elemental Hit is used with a sword.
Game mechanics | Damage Scaling and Effects | See also Damage Types. Understanding how damage scales is very important in Path of Exile. There are 5 main types of damage, which are Physical, Fire, Cold, Lightning, and Chaos. Fire, Cold, and Lightning are collectively known as Elemental Damage. Damage reduction from armour only affects physical damage.
Game mechanics | Dual wielding | Dual wielding provides a bonus to attack speed and block chance. The attack speed bonus is applied multiplicatively with other attack speed modifiers. The default attack and most other skills will alternate between hands for each skill use. Some skills attack with both weapons at once and deal two hits (e.g. Viper Strike ), some attack with both weapons and combine their damage (e.g. Cleave , Dual Strike , Viper Strike of the Mamba ), some alternate weapons within a single skill use ( Lacerate , though not Double Strike ). For skills that are weapon-restricted, both weapons must be compatible in order to use the skill.
Game mechanics | Combining damage properties | Path of Exile uses wording that is as literal as possible according to the classifications listed on this page so that consistent damage calculations can take place. For example, take Spectral Throw. It is a projectile attack that uses a melee weapon. This means that, for example, a passive node that grants 10% increased physical damage with Two-Handed Weapons will boost Spectral Throw 's physical damage when used with a two-handed melee weapon such as a staff, but a node that grants 15% increased melee physical damage will not boost Spectral Throw's physical damage, because Spectral Throw is a projectile attack, not a melee attack. This approach to properties is true of all mechanics in the game, but is most often a source of confusion for damage stacking.
Game mechanics | Damage conversion | Some skills and gear can convert one type of damage to another, resulting in a complex damage calculation. Damage conversion stacks additively, and is scaled down to fit 100% if total conversion exceeds 100%. Bonuses from different damages types are applied to the final product as though they were the same type - for example, if you had 100% cold to fire conversion 100 base cold damage 50% increased cold damage 50% increased fire damage Then you would have 50%+50% increased fire damage (see the following section), or 100% increased fire damage. This means your final damage is 200 fire damage.
Game mechanics | Modifier stacking | In general, integer modifiers are applied before percentages. Percentage modifiers using the words "% increased" or "% reduced" stack additively with one another, while "% more" and "% less" modifiers stack multiplicatively.
Game mechanics | Modifier stacking | When dealing with weapons, some modifiers that are listed on the weapon itself are applied first, before mods from other pieces of equipment, skills, and so on. This includes anything affecting physical damage, such as increased physical damage, added physical damage, quality etc., and also attack speed, critical strike chance, and accuracy. It does not include elemental damage mods. These can be called local modifiers - any modifier marked as "global," such as %increased Global Critical Strike Modifier, is not applied to the weapon first.
Game mechanics | Modifier stacking | Similarly, when dealing with armour, evasion, and energy shield on armour, any modifiers affecting those stats that are listed on the piece of armour are applied first. This includes quality and any other mods directly affecting armour, evasion, or energy shield amount. It does not include mods affecting the energy shield recharge delay or regeneration rate, only the amount of energy shield.
Game mechanics | Modifier stacking | Imagine I have 100 life, and two passive skills that each increase total life by 15%. The total bonus will be 30%, resulting in 130 life. Now imagine I am wearing boots that give +40 life, and have a passive skill that grants +20 life. The integer bonuses are applied first, giving me 160 life, then the percentage bonuses are applied to that subtotal, for a final total of 208 life.
Game mechanics | Modifier stacking | For example, let's look at a Samite Helmet with +69 armour, 92% increased armour, and 20% quality. This Horned Casque has a base armour rating of 240. Then the +69 is added to get 309 armour. Then the 92% bonus from the item and the 20% bonus from quality are added together to give a 112% armour increase, for a total of 655 armour.
Game mechanics | Modifier stacking | Another example calculation If you had a sword whose unmodified damage is 10-20, with the following modifiers:
Game mechanics | Modifier stacking | 50% increased physical damage on the weapon; 20% quality on the weapon; 5-10 added physical damage on the weapon; passive skills granting 30% increased sword damage; a skill that does 40% increased damage and 30% less damage;
Game mechanics | Modifier stacking | the calculation would look like this:
Game mechanics | Modifier stacking | Base damage: 10-20 Stage 1, on-weapon modifiers: (10-20 + 5-10) x (1 + 0.5 + 0.2) = 25.5-51 Stage 2, all other modifiers: (25.5-51) x (1 + 0.3 + 0.4) x 0.7 = 30-61
Game mechanics | Movement Speed | The base movement speed bonus of your character is 0%, or normal speed. If your movement speed bonus is at 0%, then it will not be shown on the "Defense" tab of the character screen. However, if it is anything else, such as -2%, it will be shown in the "Defense" tab.
Game mechanics | Movement Speed | Shields and body armours have hidden intrinsic movement speed penalties. Body armour based on armour or armour and energy shield cause 5% reduced movement speed. All other body armours cause 3% reduced movement speed. Shields cause 3% reduced movement speed. These are the nonmagical components; unique body armours such as Queen of the Forest can modify movement speed further.
Game mechanics | Currency | Instead of gold or other forms of money, Path of Exile uses what are known as "currency items". Currency items are displayed with light tan text colour in their item name. Currency can be consumed for a specific gameplay effect, such as crafting , or player-to-player trade.
Game mechanics | Currency | Items from NPC vendors cost some amount of currency (usually low-tier currency). When you trade with players, be prepared to barter or haggle unless a player has listed a "buyout", a set price for the item. Exchange rates between currency items are generally set by the players, as currency items can only be traded up to the next level of currency at a vendor and not traded down.
Game mechanics | Currency | General value of some basic currency:
Game mechanics | Currency | Mirror of Kalandra God-Tier: The rarest and highest value currency item in the game. It eclipses the networth of most of the playerbase.
Game mechanics | Currency | Divine Orb , Exalted Orb , Chaos Orb High-Tier: High value in the end-game. Commonly used for player trade and high-end crafting.
Game mechanics | Currency | Orb of Alteration , Orb of Alchemy , Regal Orb , Orb of Scouring , Orb of Regret , Chromatic Orb , Jeweller's Orb , Orb of Fusing , Gemcutter's Prism , Glassblower's Bauble , Cartographer's Chisel , Vaal Orb , Orb of Annulment , Sacred Orb Mid-Tier: Moderate value in large amounts. Common currency for crafting and other functions, not player trade.
Game mechanics | Currency | Scroll of Wisdom , Portal Scroll , Orb of Transmutation , Orb of Augmentation , Orb of Chance , Blacksmith's Whetstone , Armourer's Scrap , Blessed Orb Low-Tier: Currency that is rarely used for trading.
Game mechanics | Currency | Items on websites like official trade site and poe.ninja are widely listed with buyouts in terms of chaos orbs and divine orbs.
Game mechanics | Attribute requirements | Most gear has attribute requirements that must be met in order to equip it. These requirements come from the base item type and are unaffected by magical modifiers, quality, or number of sockets. If a gem has attribute requirements a character does not meet and the gem is socketed in an item then that character will be unable to use that item.
Game mechanics | Level requirements | Most items have a level requirement that must be met in order to equip them. There are two factors that affect level requirements:
Game mechanics | Drop rates | Drop tables are uniform across monsters of the same monster level. In other words, the pool of items that can potentially drop and the chance for a particular item to drop are not determined by the type of monster.
Game mechanics | Level difference currency penalty | There is a penalty to the chance of currency items (scrolls, orbs, etc.) dropping in areas with a monster level more than two levels lower than a character's level. Currency item Drops are not increased or decreased in this way when fighting in areas above your level. For the purposes of this penalty, your level is never considered to be higher than 68. Therefore, a level 75 character receives no penalty in a level 66 area.
Game mechanics | Level difference currency penalty | There are two modifiers that affect drop rates in the game, increased item rarity, and increased item quantity. There are three potential sources of these modifiers: - the player (skills, passives, gear etc.) - monsters (such as bosses and champions) - Party bonuses Modifiers from the player stack additively with each other, and are subject to diminishing returns. Modifiers from the party bonus and monsters stack additively with each other, and are not subject to diminishing returns. The total player bonus stacks multiplicatively with the total party & monster bonus.
Game mechanics | Item Rarity | Increased Item Rarity % modifiers (or IIR) increase the chances of an item being magic, rare, or unique. IIR increases with diminishing returns but they are only significant at very high IIR values. IIR has no effect on the number or type of currency items, scrolls, or gems that drop. When in a party, only the modifier from the character who lands the killing blow on an enemy is counted. If one of a character's minions lands the killing blow then the minion's IIR is added to the character's IIR and that sum is used.
Game mechanics | Item Rarity | Magic, rare, and unique monsters have an IIR modifier for drops.
Game mechanics | Item Quantity | Increased Item Quantity (or IIQ) increases the average number of items that drop from monsters and chests. It does not affect the type, quality, or rarity of item dropped, only the chance that something will drop. There is no cap on the usefulness of this modifier, as monsters can drop more than one item at a time. The base chance for an item to drop from a normal monster is 16%. This varies between monster types, and special monsters have higher drop chances.
Game mechanics | Item Quantity | When in a party, each player in the party after the first gives a +10% item quantity and +40% item rarity modifier on drops.
Game mechanics | Item Quantity | IIQ & IIR modifiers from support gems currently do not work with kills made by damage over time effects, such as the poison from poison arrow. Modifiers from your gear will affect those kills however.
Game mechanics | Quality | All weapons, armour, flasks, gems, and maps can randomly receive between +1% and +20% quality when dropped. This value can be increased by Blacksmith's Whetstones, Armourer's Scraps, Glassblower's Baubles, Gemcutter's Prisms, and Cartographer's Chisels, but is capped at 20%.
Game mechanics | Quality | The effect of quality depends on the item:
Game mechanics | Quality | On weapons , increased physical damage On armour , increased Armour rating, Evasion, and Energy Shield On life and mana flasks , increased life and mana recovery On utility flasks , increased duration On gems , the bonus is specific to each gem. Check the individual gem page for specifics On maps , increases the item quantity bonus from monsters in the map area
Game mechanics | Quality | There are a limited number of ways to increase quality beyond 20%.
Game mechanics | Modifiers on items | Modifiers are split up in to two main groups, prefixes and suffixes. A magic item can have only one prefix and one suffix, never two prefixes or two suffixes. Rare items can have up to six modifiers, it is unknown if there is a limit on how many of these can be prefixes/suffixes. A randomly generated rare item (from a drop or Orb of Alchemy) receives between four and six modifiers randomly, with the following odds: [1] 1/12 chance of 6 mods 4/12 chance of 5 mods 7/12 chance of 4 mods
Game mechanics | Modifiers on items | All modifiers have a level associated with them, and will only appear on items whose item level is greater than or equal to the modifier's level.
Game mechanics | Modifiers on items | Lists of available magical modifiers are available in the list of item modifiers section.
Game mechanics | Modifiers on items | The Culling Strike modifier (found on some unique items and Culling Strike Support ) causes monsters to die if you strike them down to 10% or less life.
Game mechanics | Sockets | There are four types of sockets :
Game mechanics | Sockets | Sockets appear randomly on most equipment. Higher level items can appear with more sockets than lower level items of the same type. The maximum amount of sockets that can appear on an item also varies by the type of item:
Game mechanics | Sockets | Items are more likely to receive sockets that match their attribute requirements. So an item requiring only dexterity is more likely to have green sockets than red or blue sockets. You can only put a blue (intelligence) gem in a blue socket, red gem in a red socket, etc. Sockets can be linked. The links are shown as gold bars between the sockets. Support gems affect any skill gems in sockets that they are linked to.
Game mechanics | Sockets | For example: This sword has 1 strength socket, 1 intelligence socket, and 2 dexterity sockets. Every socket is linked to every other socket. In this sword you could put:
Game mechanics | Sockets | So let's say you put in:
Game mechanics | Sockets | You would get a cleave skill that does extra cold damage, and raise zombie skill with zombies that do extra cold damage. You would not get zombies that have cleave, or raise a zombie every time you use cleave.
Game mechanics | Sockets | If two of the same support gem are linked to the same skill within the same socket group, they do not stack. Only the highest-level gem gives a bonus.
Game mechanics | Sockets | Additionally, two skill gems of the same type can be used in separate socket groups, resulting in more than one usable version of that skill. Skill Gems are only affected by support gems in the same socket group.
Game mechanics | Sockets | For example, imagine a piece of armour with 5 sockets. The first two sockets are linked in one group, and the remaining three sockets are linked in a separate group. If you put Cleave and Faster Attacks in the first group, and Cleave, Added Fire Damage, and Added Cold Damage in the second group, you would have two different versions of cleave available - one cleave skill that attacks faster, and another cleave that does bonus fire and cold damage.
Game mechanics | Sockets | Small letters appear over the skill icons for each support gem you have attached to that skill. This allows you to differentiate between the different versions if you have more than one of the same skill gem equipped.
Game mechanics | Item level | Each item has a level associated with it that is equal to the monster level of the area it dropped in. The monster level is shown on the map overlay (TAB key). Magic monsters (blue name) have +1 to their level, and will yield items with an item level one level higher than other monsters in the same area. Rare (yellow name) and unique (brown name) monsters have +2 to their level, and will yield items with an itemlevel two levels higher than other monsters in the same area. You can check an item's level by picking it up on the cursor and typing /itemlevel in the chat box. This item level determines which modifiers it can receive, and how many sockets it can receive.
Game mechanics | Parties | The maximum party size is 6 players.
Game mechanics | Effect on monsters | Monsters have increased life for each member inside a party.
Game mechanics | Effect on monsters | The original life amount is used for the purposes of determining the length of stuns and status ailments from elemental damage - this means monsters will not be harder to stun/ignite/etc. when fighting in a party.
Game mechanics | Effect on loot | Each player in a party after the first gives an increased item quantity modifier and increased item rarity modifier on drops. Increased Item Rarity & Quantity modifiers are only counted from the player who lands the killing blow.
Game mechanics | Effect on experience | Only party members that are nearby (roughly two screens) receive experience from a slain monster. If one member is in town or too far from the monster they get no XP. Monsters are still made harder by players elsewhere on the level but outside of XP range.
Game mechanics | Effect on flasks and killing blow modifiers | Only the character landing the killing blow gets bonuses from "(.) when you deal a killing blow" type of modifiers. Flasks does not apply to this.
Game mechanics | Instances | All areas in Path of Exile are instanced. When you enter an area, a new instance is created. Once you leave the area, the instance will remain in its current state for 15 minutes - if 15 minutes passes with no players entering the instance, it will be closed. This closes any portals you may have had to the area. Entering the same area again will create a new instance with a new randomly generated map. Areas without side areas attached (any area with two or less exits) has a shorter timer, and will only last 8 minutes while empty.
Game mechanics | Instances | Instances you create are private, and cannot be entered by other players unless they join your party. However, once a player has entered an instance, that instance remains associated with the player even if they leave the party. So it is possible to share an instance with non-party members in some circumstances. The exception to this is towns, which are always public, and cut-throat leagues, where all instances are public - meaning anyone can enter your instances at any time.
Game mechanics | Instances | Some areas have waypoints. Once activated (by clicking on the waypoint), waypoints allow you to travel instantly to any other waypoint you have activated.
Game mechanics | Instances | Ctrl-clicking on a waypoint destination in the waypoint menu, or an area transition such as a doorway, will bring up the instance management screen. This screen lists all available instances of the area you ctrl-clicked on, the players inside the instance, and the time remaining until they are closed. It also allows you to create new instances, and enter existing ones. Using the instance management screen you can have more than one instance of the same area open at a time, and choose which available instance you want to enter. This may be useful if one wants to respawn bosses, but note that instances are arranged so that bosses cannot be farmed without traveling a significant distance.
